Video ID,Comments,Comment Count
gqht0qzWWko,,1
cX3VILC_4Qg,,1
LzdjTEFuc8o,,1
BH3t8GSR9OE,,1
ZlgxWwgTNNU,,1
aXjeCpxdO_8,,1
CqZeutIEjcs,,1
85uPKxL6RhA,,1
DV4_4t5pwcA,,1
Vr2Fh4srIvQ,,1
AB220rGjvjw,,1
iDobc1umpUc,,1
PKDquwfSoJw,,1
CVldSgFnZyY,,1
bNB1CdKzzzk,,1
pEuVNxFeqpA,,2
Gh0sUcXuuJg,,2
NeI41nWlhps,,2
_8CjUYejFw0,,2
XzZv_3HxohA,,2
Y5qs6u2nPOY,,3
MpDsti-uUq0,,3
XoOWds2b-Xc,,3
NW_lNs5imhk,,3
KA6kkwe2zUI,,3
zs3wAHu5bjM,,3
J6tLuhZf3Rg,,3
WSTSeMQdcZc,,3
5eVNXEHGv2o,,3
YPexGKycUXM,,3
nICtzoizWQo,,3
qmgT_STfU_c,,4
V55lQl1Fjlo,,4
2cIvKTQ9FJM,,4
C4XiDh3WPDU,,4
oElP9uf2he4,,4
VwRXiwSkKoE,,4
UPFxplPTpUU,,4
O7C88qCz1TU,,5
YH8g__5rJk8,,5
LR1fvqgybpU,,5
4fdf44O2eUc,,5
rTY0QLd5sR8,,5
5wlFEOQSUfQ,,5
WgRtTU3Aeb0,,5
U8z-YXVxoMQ,,5
lBv_ZWY27rc,,5
i2I789-8Chk,,6
OvW1xP1EIsU,,6
PvCkV2wdxLo,,6
JYOaPvZ5ur0,,6
eYVnId5bS2k,,6
XPYIWCwb84Y,,6
x3ssAFpMYSE,,6
j6MWvmN_m1E,,6
o5GQnhFLtCc,,6
hM47RA8viJQ,,6
S-VTSEw3AwU,,6
zhfJrvI3x-A,,6
HWeFjKxuIyc,,7
E30fT8gssd4,,7
wbZ5qr1IfhM,,7
k5xLgizQh7k,,7
jkytlp91onQ,,7
kbXNbVVAbak,,8
UPnKAn3_AB4,,8
lK7TM81EOZU,,8
tsrekysPoxc,,8
wdrYAIPlIm8,,8
QFh0XkV-8YQ,,8
vSwRGjYY5D4,,8
PwygvDdcoC8,,8
rCPtwtzeYMQ,,8
c-69AyuNhko,,8
cgY3_mbgR0Q,,9
GI5Y_yiO0rM,,9
miXs3RKeyjU,,9
9wGJoz_pdrY,,9
RXTX4dhqrbI,,9
D4lzFteAOZY,,9
T502Ofsad1Q,,9
FgHKdoYpGpI,,9
9iaJstpr1Gk,,9
FnIdfWbsqrw,,9
7rBvBPH5w-8,,9
kZTEe8A2DlQ,,9
Z8FvkRp_lHY,,9
a9wXLHxi1oI,,10
6CKm9Q8YLIw,,10
dxLJOdr6Xdo,,10
Z6aF_BLG3Vc,,10
KAv6SE37Q00,,10
yuLIxoKEfwM,,10
5uukMLh9T60,,10
h1OPM0-2n3g,,10
VQHU-cdxOcE,,11
Kv6MYSkg_60,,11
6UfIZEdcrwY,,11
YwvgkQ0hug4,,11
PXdxFD-tDoc,,11
lDLsRcaUo88,,11
qmaFtKtmLY0,,11
5dx4sCpP8Ig,,11
jzXqz5RQQG8,,11
RGVIfM6hsNc,,12
vw5Q0GY-avA,,12
wLT5keKUFIc,,12
x0S2tDrD_5c,,12
KrMII3Y0UJc,,12
BWcANNU71HA,,12
PkhQ6ZyppSs,,12
cZKiLPZpZgc,,12
qZ-1uCj_T3U,,13
uK8deB01EN0,,13
6PnJbHRAhTk,,13
7hFs5u5cJZY,,14
92ncdHlV3LY,,14
5q3xn_3ic6E,,14
tGwDav4OU4I,,14
x_Q3LGP5fxc,,15
ZMosfSsP9CM,,15
5URQfLvCJKw,,15
1UEqW-wGOpA,,15
5HnIMU3kV-w,,15
2kcjVK84lKU,,15
XM45CGXJ4zc,,16
BWVoTOx5l6Q,,16
6dEikfRJDdU,,17
nMYFlxNzEZM,,17
eTAI6eQeD1k,,17
3hQ8ZX2JQS0,,17
LmdXEvY7FdI,,17
J2KKG74VEY4,,19
D_Fe_f2STTA,,19
NEStSMUhqds,,19
SQC17ASyYJA,,19
QR1P2AlqR-E,,19
Es2bli0uSYY,,19
N_QxbKTHV9k,,21
_v4t9faGahE,,21
LBBI2MEQ10E,,22
7YIPrXYe0xs,,22
esJD_DvM0Cg,,23
FafwI0h3WKk,,23
xPR_Z8M1J80,,24
vQZzpXS66dM,,25
1spCac12CfY,,25
hedMOideZY8,,25
D_R00saZYy8,,25
Z5knQTc76vU,,26
P0VK5InNRiA,,26
hcRF1lTOfGI,,26
K5zRxtXc27s,,26
knCjScmNnJE,,26
o0niNWGbTuE,,27
t1_x1OKXZyQ,,27
qJuGHovSRE0,,27
P-hpSwXsDGo,,29
2KrfOc3hQvQ,,29
rbBsxz9uFD4,,30
_UbbVzlda8Q,,30
CRWDYbKyq8M,,30
iShqIapTCV8,,30
XCzA5ldzaD8,,31
B5LdSsNzgXM,,31
R4AqB_zewLo,,31
re0bNbmB7DU,,32
szYCme1OkAc,,32
7uLWNOlfLKI,,32
bKC1mNGvMpU,,32
OYlloaSih48,,33
FYWoASBLcpA,,34
BzJoXeVblJg,,34
-knH-zU_GCY,,34
whCU2euvx5U,,34
VgYO0l_GmS4,,35
651bggFWSXI,,35
QYfvW2ynqJE,,35
mEXsCeKObkg,,36
h2mecvSfT8w,,36
uCQfZluNq1I,,36
ZNE-vB2ncHM,,37
uPKIFhxcmxY,,37
VbpNEycegdg,,37
h4mY9ANCEQg,,38
OnoRcDNFnu4,,38
b4r_LadvoMI,,39
_szOQrGxT9E,,40
gra1HeDMvec,,40
hfmk-tPeK7E,,41
h6v2H6BFINo,,41
2FnxC4b9Icc,,41
UMNhg9ZlfSY,,41
mkekPpSo17E,,43
QQztYIN_ILg,,44
YUdq6H3EcLE,,44
rVDNjbmlOz4,,44
pFCTgWIBrlg,,45
Kts3RIrBpGo,,45
KNbHMibm9fw,,46
pX8YupjfXME,,46
8sAyFDRYedw,,46
-pNUf3ov3iI,,46
OHo35bjWgO0,,47
IHUwY55pWIs,,48
_k29OgWxK4Y,,48
sB1m5zW1b5A,,49
RKyPYWVlj78,,51
Zi9O471ruk8,,52
JSj-kyqpYf8,,53
VGVFoxC0JrM,,53
a5jwIieKF-I,,53
F6Amq4YCDPo,,54
p3YO_IkgXBo,,54
mRMzZVjyYY8,,55
m8L-qd-truQ,,56
3CAo9glWzao,,57
pTfeS68ymzQ,,60
JYrgShlXUVI,,60
Fg4USLv88zg,,64
YNUI5Xgr4qo,,64
q97QY0rMM_o,,65
NU_GDBObm1Y,,65
jE30Ro3Fd68,,65
atEDIQ5Bzho,,65
Vh1QfduGJCQ,,66
GJ3acXqHSUs,,67
gosJoVsA0vI,,68
LUwAVuS0cio,,69
OrV6rc_VjhI,,69
bbY0nSfSea8,,69
dYG-It9pBt8,,70
KTvdiIWenk8,,71
ELhCN_cov9w,,71
2vLzeSC0UP8,,71
D_TP0L-s4V0,,72
dytncO3M_QQ,,72
7kq4qkeVybo,,74
_c0fgnpAlrI,,74
p-NgghB7rZ4,,75
lJ3-i42GFYc,,75
OfhKr2sb17U,,75
tVqLmnjEDKY,,77
1NZiG99SN7g,,77
QHExzvimbGc,,78
wImjH9haWp4,,79
k0uFfXj9meY,,79
TVgXG2yY_Bg,,80
CyLmIcYE92U,,81
WErNBLqdLrY,,83
f3BZGUnAa8g,,84
r3mxrG2dIBY,,85
8p412TXn7dU,,87
Wck2GnT_uM0,,91
xfT7T9UYvwM,,92
khoOkUzO4v4,,92
B8_7Opa6iBQ,,97
kiHPKJ3ZEUM,,97
c1lin_f9lVg,,97
TPESHXe8B0I,,97
Wluus91PUjI,,98
dbonxsTODqc,,99
WydWEcBOLvA,,100
5NTPwYkkz4c,,103
FFQ6YWOsOUA,,106
hWLHRUddhas,,106
g7b0osWpG44,,106
-bMdUkYY6AM,,106
7BPhjrt7xzI,,106
Hh_f1058u_c,,109
fdCL6LAdN2w,,109
3oAp6-xrZrw,,109
czoI-JB_RQA,,110
xnA3Jll8j-k,,110
AuaxSYVNYxE,,111
c64ZzqoOq58,,111
uT9g3UViYJY,,112
oUVz9XeiC44,,114
AAeSsVCsrA4,,114
a89cORa6qns,,114
yd8MkGODzYY,,114
RkrsTQP5h4A,,115
2t5fnRyoYBA,,116
pc9nErTk4MM,,117
uTjbnVEJqTk,,118
NPJscNvgeD0,,119
pbPbuiAxb5k,,120
9CVkcdNHo9c,,120
VBPtc7rzVE8,,120
WESgNmf2M1g,,128
RecuqgimAjc,,129
qNzRegSmiFk,,131
ilUr1m4wWnQ,,131
870tv85usPA,,132
n6FKeusF9Yo,,133
WPrCibfTDK0,,134
lGBFhT-KXSY,,134
HCMhRdRuMyU,,135
KU5o2vGuGbE,,137
AZoWW7Z1cSY,,137
Deb9SA9Sfe4,,138
b6K9R0EDEZA,,138
U34bXp-mma0,,140
YFvO9K-nen8,,142
PIsJhqhaWHw,,142
UytOYcAd_Kk,,143
GVkwFbJS6i4,,149
mI9UseOt7Ds,,152
bb0gMCITi48,,153
bSkva8ZeMJk,,154
zJ2ZJZl4G4s,,155
4XgBZX_pXjc,,156
LWpyD1qRs8I,,156
vSgmKTUfD0g,,156
8ucnKcemAWI,,162
kOBYR0-VMlA,,163
97I_wJxDepI,,165
wPsIiACH7hk,,167
6QkmbOmn0G0,,169
hr0TjEHuZqE,,169
iAeSIJBoclI,,169
9MTVHXVYrKY,,173
BhZhbm8rCXA,,174
3M0uBvtLyFo,,174
Ckuo2iyMGr8,,175
VWpyZlkIWgc,,175
rEnnQWWVRxc,,176
aAKL8C2-3RQ,,177
B29W6FnEIMs,,178
cvvgqI16vzk,,183
XEiXe6sW7vk,,185
8l4ari7GVjQ,,188
JPHV17yt1aY,,191
w_uF8dXb5H0,,193
hScfoPR9cO4,,195
eGhfOdcJXwA,,197
O3HhYqeIvlQ,,200
ZvkzHPJmuhM,,204
0kj29DibaJ8,,204
i8gV-l9exV0,,205
YP4JIjGOHhY,,207
S5Mi3fYSydM,,215
q6PXlsiwKrU,,220
SM_tuZcFicU,,221
BWdG0QNzjtM,,221
-4T9K2ShEvQ,,221
VoHINtON8Qg,,222
6sGo7Hpyqic,,222
HrqEKjX4TXI,,224
ABWpxvYYyD8,,230
s6cjJGwVx7Q,,231
hX242MLHIzc,,232
C00tnRGsivw,,235
EP4ttCDVJ3U,,238
REifdfJvCzw,,240
TSdeP5TPyv0,,243
EC71GPjPfSs,,244
GjE1FZbBOxw,,245
zxzPUlFRzuU,,246
8oUu1ZxaACo,,246
Lz36W8rt7do,,247
ccRXEN1Qjf8,,249
pU-Zhj7FKUw,,254
nGDVMIwGi54,,257
2nlggMBLvxs,,258
7k7fDGeG7JU,,259
nVjv_50EfNk,,260
_nbj4hOXtTM,,261
0Mw0mlKATLw,,268
_kqYtFOSsg8,,268
JFbcp7UUe7w,,268
t4CPph1A8k0,,269
Ui63GWBnRQ4,,269
5HxJr7ZRKvY,,272
u4EGLILlY24,,276
zavAKfTum1M,,279
uoiQYyVfKwY,,283
gTnKzMt0Kno,,283
bJ-1QOOett0,,285
JybE3-UX0sM,,286
Ngimy3GpHS0,,286
RVEUlE19-Y8,,288
ATnO5JjPD2o,,292
BwkfXM5s7b0,,294
tOWpOL4ZgSw,,302
mSzmNFTlyrc,,302
3-ZkRwBN54s,,313
AkUzE4bQxt8,,313
IKwmFlSY_UU,,315
F8ECUF2RlMs,,327
3Y4kqxdBEQ0,,329
HZth2fjonIY,,343
HFM8vyBpOqs,,344
C3E8u7nQsNE,,352
zVoV2RIszNg,,353
MBaaA6oekVo,,358
Gs6KAYTaw5k,,359
ZkOzfQ8Yxb0,,364
-iy_xoHcYXc,,367
6ZAQU7Hl2Kk,,367
