Video ID,Comments,Comment Count
DjKrK9bhoJs,,3729
MGJrJGqdHpc,,3827
CYVeKXe12XE,,3894
fRgM4ZyYRTg,,3901
r6vapBr5-qI,,4020
z6xD6zz_IzE,,4076
c4ZteOtHWQ0,,4143
I9Luzeshhc8,,4203
qCSu-X_aEvo,,4238
NA8n85JBr4o,,4472
lXZPMb51IQU,,4497
ER9vmhxFucg,,4553
2QoHBgGLDng,,4571
rrH90zd9uco,,4806
h--itzp_dVo,,4827
l5LQmODJ4wQ,,4853
UePmolUIles,,4859
TOZyX3bv2Hc,,4893
KXofTl_kj8U,,4939
aGT_EeoMteI,,5099
DjZfZHWkUDs,,5283
Zag_tB4fgJw,,5292
QqTLr_hviPs,,5360
mE_S5tUtb-s,,5481
rAzGhiO-pBE,,5538
5DkO7ksXY8E,,5568
nV2_xjp0-N4,,5601
bBwpMb2GS7I,,5621
q67l_GOUzGc,,5729
UXj21-mIo1U,,5813
PC8NkPaPvQ0,,5818
5LFdcZe7WW4,,5830
ZUAJb1u_J9Q,,5855
6AsYT0NiBt8,,5921
uLz8_6x8u2Q,,5932
uCTr7MGFK0U,,5939
V2qQsNofEgU,,6157
G6RR2_NQ530,,6176
fmOzQMgFoEo,,6281
W9eAjneIs9s,,6538
ip7lpXvFyQo,,6611
ViSE3F7KT68,,6812
RbkiZE8xqBc,,7002
hI2LF37PrqU,,7035
MBrAY6GgU5k,,7162
cGXuAlndfjM,,7227
5IQ645-UUV4,,7335
cpA0hvrWEKk,,7364
U6J_Pkqk5Fs,,7481
lJR6g_Gzqko,,7517
J2CncmmhIUQ,,7768
LE8-4aRf5VQ,,7815
yDv0WSgXJVg,,7932
sLgTM5GgGmc,,8999
jEUaZEul13c,,9034
YgJXhrSxa7Q,,9320
mZXn0RTb0TM,,9488
iFkoP8y9648,,9502
EKFLiAztJ5Y,,9999
iHHniOlHHnM,,10216
yg2yEId9MKQ,,10297
qfr0NUD3FTU,,10350
MXg6Usdjl5c,,10391
Gl5wBrNuxx4,,11070
UtHbm8xqpjE,,11289
0SV6C4dnglg,,11394
i6O7lZLYRiI,,12144
svbnlCyifWY,,12344
fQx4mmRG6GQ,,12877
pKcamCgBvMo,,13225
eCtbHeropTQ,,13779
O8BXjZQxAOk,,13884
1LVpuWpRs3I,,14589
QZsthdsh6yk,,14690
UTJ7c2saCc4,,14813
tz9TN7ixPW0,,16033
KmlBnmyelHI,,16039
dOUV2rwMr1g,,16343
dKeRIOA28Jk,,16858
YjMSttRJrhA,,17297
LUrrN6cEBRQ,,17871
mt9xg0mmt28,,18661
WKbwopSXLWU,,18856
etV36Ny3PKM,,18913
-RuSqMYcQK0,,19267
bw7bVpI5VcM,,19310
G_lpQG4fNlI,,19860
pfHxl46KyZM,,21454
tzRFLMn4kpM,,25378
HT7g_9eNnYk,,25531
KzBa4ZKTVjE,,25799
Pcv0aoOlsLM,,27987
UmhXhTmP0a0,,30759
ZcFV_rJDa7s,,34630
jZiP8fDXJqE,,35208
JRoAF_Us2d4,,36222
uC1iJcYOyeY,,37507
G62HrubdD6o,,39067
VUe3p23AJMo,,40551
LoZXboySl2I,,43436
rRr1qiJRsXk,,44093
q10nfS9V090,,51739
TIE92mUvSsw,,54616
kZqH9Kfv6BI,,58119
X_5_BLt76c0,,58684
oGneAab3e88,,60903
JfbxcD6biOk,,60933
gcHH34cEl3Y,,64948
m6Y8xEfyXTs,,66787
RiANSSgCuJk,,69896
qFkNATtc3mc,,77926
1J76wN0TPI4,,78775
JFP24D15_XM,,79929
owPuQjInzO8,,80564
WqUXVw0WlXc,,83878
zWEOx7TSM6I,,85967
g0eO74UmRBs,,87512
tQ0mzXRk-oM,,89145
qoq8B8ThgEM,,180046
VEkj2sanAeU,,281017
sCbbMZ-q4-I,,344597
GODAlxW5Pes,,580981
Iot0eF6EoNA,,1066693
