Video ID,Comments,Comment Count
zR8x5FAvlPU,,574
STL-ueSScRI,,439
bJ-1QOOett0,,285
qfr0NUD3FTU,,10350
D_TP0L-s4V0,,72
oj6TqaPdT8Y,,0
s6cjJGwVx7Q,,231
qji2xLQIs3E,,1729
k13GFNFgpOk,,1309
C3E8u7nQsNE,,352
g613ogdHIGQ,,702
HrqEKjX4TXI,,224
alIX6pqJJbc,,1035
xXKInf1luP8,,2377
ThKNjV723yI,,1568
HBKrJ4dHLkY,,0
mtHbJ2qPDtk,,0
mtHbJ2qPDtk,,0
mtHbJ2qPDtk,,0
RMiENrqVGNM,,633
-GGNccaLb34,,2485
NeI41nWlhps,,2
QFh0XkV-8YQ,,8
ZlgxWwgTNNU,,1
WydWEcBOLvA,,100
zavAKfTum1M,,279
RkrsTQP5h4A,,115
VJwe4Ozvk0w,,749
A8hV7P1DPGU,,0
eGhfOdcJXwA,,197
_BLJiT_OnIE,,1268
w_uF8dXb5H0,,193
VvDoIUuq-Qg,,1471
yCe_KvN_k34,,0
HKNxolW3NCI,,0
vMSxKaXNk8A,,0
W2FBr5bG6zU,,0
3WUptQ-hC2Y,,785
FafwI0h3WKk,,23
z6VvhUlGSSQ,,807
i4GRIl4AcV0,,1370
I9Luzeshhc8,,4203
prCai1y4mYg,,1222
A_wpOxG5GFA,,1443
5WaC3vkgEVU,,1764
GhpSakfMk1g,,2142
a3tRG7Ungqs,,1242
vSwRGjYY5D4,,8
1cz7g-ZFpEk,,0
CqZeutIEjcs,,1
NEStSMUhqds,,19
xNCJmogYzlY,,1790
k0uFfXj9meY,,79
8FIhIPbC4Mk,,0
SM_tuZcFicU,,221
D6oGAxuKJoQ,,0
f7Bsbzo2z_s,,0
HtZOQm3zj3Y,,1930
cuZ05wzGERg,,599
1j3xHBoGLxM,,0
QXsM2DqRzJE,,0
hWLHRUddhas,,106
hX242MLHIzc,,232
U6MG8oSuoX0,,0
ig9zcDlGnG4,,0
2Huyna3QM80,,0
9PUWtJUqTfs,,0
QpByIr0l2mE,,0
o0niNWGbTuE,,27
uLz8_6x8u2Q,,5932
7dEvlOI-fDM,,968
nl0KFcDfUWo,,0
US1_9nxM3IU,,459
JSj-kyqpYf8,,53
t_XDyOuXAm8,,0
r_Qzl2ADf4A,,493
MBaaA6oekVo,,358
uTjbnVEJqTk,,118
WgFjCcm9Xeg,,0
FYWoASBLcpA,,34
vYjAeBFBduU,,0
5uukMLh9T60,,10
B29W6FnEIMs,,178
4MEEUiqZVzU,,761
PwygvDdcoC8,,8
J6tLuhZf3Rg,,3
c_HRBoCJl9I,,395
Vr2Fh4srIvQ,,1
YH8g__5rJk8,,5
vykdTWjc7hw,,0
8k-eH6uS-E0,,0
9FRgxjOMEEc,,0
XowwHgdiYsc,,0
dT6PPuJEZmY,,0
BUIRkSd6PMg,,0
wImjH9haWp4,,79
mtHbJ2qPDtk,,0
rl_ftvSpIg4,,0
ON7ZMCwb224,,0
czP2rJ6Bzgg,,0
B8_7Opa6iBQ,,97
bDlcl3k0v10,,0
_nbj4hOXtTM,,261
6K8WvkztNlA,,0
Vh1QfduGJCQ,,66
67HCZ0J-dxA,,1195
JYrgShlXUVI,,60
LR1fvqgybpU,,5
tJbSEB0GHQE,,0
YK0OflvuoqU,,0
6ybt94oQYAU,,0
zHBkWsr_7Lw,,0
eNU0uLzwTNc,,0
tKh5_NMHBvg,,0
7TgyAdeU1rA,,0
GF-TlaGtDcw,,0
svbnlCyifWY,,12344
JRoAF_Us2d4,,36222
gopoPzQemHI,,1953
i6O7lZLYRiI,,12144
EeDJZjsXacI,,645
bNB1CdKzzzk,,1
lB0dhVU7ON4,,0
zucdpZFHTSA,,0
7Vu_wqGInMk,,0
bUNjz5yQzkE,,0
TlRxNJfAMGw,,0
ol5d9v3W2kk,,0
MES7rOMLVV0,,0
W1-VuTlsfAk,,0
b5lV3IjsRyQ,,0
gppXyE8NO1A,,0
rVDNjbmlOz4,,44
sJAtsi36Vkw,,641
lDDlujbcXwI,,0
yCZloVMtWFQ,,0
Y5qs6u2nPOY,,3
t4CPph1A8k0,,269
tO4kaMeQIfY,,0
zFGlZpfZug4,,0
L2SdqHzQfdg,,543
Fge05nK6bUs,,1944
A7QJn1e4JkU,,0
8pWPwqXgm6c,,0
mgnQhxg3Y8I,,1279
i2I789-8Chk,,6
a9wXLHxi1oI,,10
KXofTl_kj8U,,4939
eO5N7Ov9ZVo,,554
H1LSsMU0Okk,,1185
Y81LxX5olzE,,2576
YjD-OwhB4wQ,,1016
ROIupmglkec,,0
TnzxAlICHoM,,3461
Y7kkwQcpMbU,,0
LTzb2LxhuKk,,1330
QoW8fJqvJbA,,0
jZiP8fDXJqE,,35208
NA8n85JBr4o,,4472
TVw6YoJsdGg,,605
bqyYV2QDH48,,981
UXqaXurOpcU,,1743
