Video ID,Comments,Comment Count
moBB6N810GY,,374
dp98DIBDnBI,,378
3-60y22SIR4,,378
kg5iYB33_NE,,394
c_HRBoCJl9I,,395
YwbsX2TyCVo,,397
sw2ItW95H9I,,398
FvYr2JMprqY,,398
P-NqFiNTovI,,405
XQwm8ndZ2a4,,411
anjIfz7uh2U,,414
AxexE-FmGk4,,416
YAp078wCBlY,,416
ybZxO3uryEo,,422
axQ7g_2Mlxc,,424
BHij4qznJxs,,425
i9EkgHlHjpQ,,428
QUGyaZq08KQ,,435
U_lYRyanQGE,,436
STL-ueSScRI,,439
ELYg5_IDUE8,,451
U4X9YlbOq24,,454
dvDDm7gHzwQ,,455
US1_9nxM3IU,,459
fwMVhXR039E,,463
AER-8vVtm-o,,472
h2Kwb-du56Q,,480
6hw3kkNdbLo,,492
r_Qzl2ADf4A,,493
9noRI6Vx0JM,,539
N0qkyPdfSwA,,542
L2SdqHzQfdg,,543
eO5N7Ov9ZVo,,554
Ih2dT51uVvs,,572
zR8x5FAvlPU,,574
9CcwzirjDTw,,578
3H6cdC8ql-4,,578
pRNEsOuqJ2Y,,583
NDEExEhvk1Y,,583
PJ-mIEZMJes,,585
qo8LVOjK7-8,,585
2UD6aYIB62w,,588
i-93lPUIpVU,,592
BVH_QN9GR8w,,597
jjLJxGNTZI4,,599
cuZ05wzGERg,,599
TVw6YoJsdGg,,605
fd-D5oSv9x4,,610
Q5qdIYIss38,,612
y3OT0bM6O6U,,613
lgUlAoIajzg,,622
RMiENrqVGNM,,633
R_TAHbSecOs,,637
vkOI8EHrM90,,639
sJAtsi36Vkw,,641
EeDJZjsXacI,,645
FNixcTWDIFA,,651
BPEjJJ8mpv4,,652
eHOc-4D7MjY,,654
1PdFPDolvEs,,667
XsTal-3Z588,,668
BotWxycz78U,,671
T_-gIOBvsdw,,680
_GYuPrFpt68,,681
N4yYjXsQV5s,,683
g613ogdHIGQ,,702
NGqLkCUWxKI,,704
WOgmj_RvYaU,,706
5IFy-Z1GW2o,,707
PMHBvluKfZA,,735
VJwe4Ozvk0w,,749
dJeG35Zaip8,,753
etpXGAII_so,,755
4MEEUiqZVzU,,761
uAVBJX2GILI,,762
3_6sviLtmm4,,768
3WUptQ-hC2Y,,785
YvAWnKipyEo,,788
zXRo18WJblQ,,793
oVBp5TY7q0g,,793
FJrpcDgC3zU,,795
nsOD3p2PfZk,,798
L3ixHR_mdDg,,800
z6VvhUlGSSQ,,807
7uY1JbWZKPA,,807
_xLgJg39yZA,,819
ENsjnS_k-ks,,826
hZ_PgbX1tMg,,834
NEqJ1k2NEPQ,,850
DuAEWewS8A4,,855
xVHhTbvMFDU,,855
i2eSLomlb_c,,856
hIhB9bg_M88,,859
T_GOpW7dAsg,,863
facFt1NPD7o,,866
zsn2vuO8x-Y,,867
8yMp310t9Uc,,876
sqYKKjLZNk4,,877
Gdqp-viGjLo,,878
Qheq50R_jWs,,905
yXIiVp2LxAg,,910
bd74_ME_NdA,,917
XFIYBjKOetY,,924
ZfXpo1ghR8s,,928
DqNtfTEaj-Q,,965
KTjrTSd2TkI,,965
CCK0E5_G27w,,965
7dEvlOI-fDM,,968
cF0Mya0zuT8,,980
bqyYV2QDH48,,981
onQz5g7lEqU,,984
DxswG82q7P8,,988
w4rlMwZjiLQ,,989
IdeMLnyaEaQ,,992
BHWrsTWR0xA,,1005
FEHq5ngJRB0,,1011
MdjuGC6FW5U,,1016
YjD-OwhB4wQ,,1016
iL8Kbq1lLSQ,,1017
alIX6pqJJbc,,1035
8EuvtjDUDN4,,1062
CGyAaR2aWcA,,1064
4NX6h2yEEcM,,1077
d4xTfc_-FK4,,1085
XArDu4E3TeM,,1095
qKRtvHCa884,,1095
0AEH2op8DRk,,1095
y1CqXFZD-0c,,1097
5U-YlLY32l0,,1110
rbmNWoHEAuo,,1121
ZHWHe3CqC88,,1136
WmGcGoCXGTc,,1137
QyaBROTJ9Bw,,1143
KSh48BALeFw,,1151
SrQMoN3v0Iw,,1179
H1LSsMU0Okk,,1185
Zs--zrRrUzk,,1194
67HCZ0J-dxA,,1195
AY0dXLE1gLM,,1202
2jlOLIMUZVo,,1213
prCai1y4mYg,,1222
v5cPP_eHqq8,,1242
a3tRG7Ungqs,,1242
o4W2iBB8iwA,,1255
_BLJiT_OnIE,,1268
mgnQhxg3Y8I,,1279
eMf2Si_VZ_I,,1297
VuuSxS9JhWw,,1306
k13GFNFgpOk,,1309
i31GZY-gcdg,,1315
R4LA6v2u47Q,,1319
lgw93uaabyE,,1321
Lbjz76KV5ok,,1330
LTzb2LxhuKk,,1330
QfTJoTZnzDI,,1335
